#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
  21600      9.71e-01    1.03e+00      1.28e-03    1.13e-03      5.45e-02    5.76e-02    3.2e-04
  21700      1.03e+00    9.66e-01      7.44e-03    8.07e-03      5.75e-02    5.37e-02    3.2e-04
  21800      1.02e+00    9.90e-01      7.59e-03    6.79e-03      5.69e-02    5.52e-02    3.2e-04
  21900      1.03e+00    1.18e+00      1.01e-02    1.20e-02      5.71e-02    6.52e-02    3.2e-04
  22000      9.87e-01    1.06e+00      3.63e-03    1.83e-03      5.53e-02    5.95e-02    3.2e-04
  22100      1.10e+00    1.03e+00      4.93e-03    6.26e-03      6.14e-02    5.73e-02    3.2e-04
  22200      1.09e+00    1.03e+00      9.42e-03    1.19e-02      6.06e-02    5.66e-02    3.2e-04
  22300      1.05e+00    1.02e+00      6.88e-04    6.41e-04      5.89e-02    5.71e-02    3.2e-04
  22400      9.91e-01    1.05e+00      1.60e-03    9.34e-04      5.56e-02    5.88e-02    3.2e-04
  22500      9.83e-01    1.00e+00      1.39e-02    1.36e-02      5.38e-02    5.50e-02    3.2e-04
  22600      1.13e+00    9.27e-01      3.83e-03    3.94e-03      6.32e-02    5.20e-02    3.2e-04
  22700      1.04e+00    1.17e+00      1.58e-02    1.63e-02      5.65e-02    6.41e-02    3.2e-04
  22800      1.15e+00    1.15e+00      1.13e-02    1.10e-02      6.40e-02    6.40e-02    3.2e-04
  22900      1.10e+00    9.55e-01      5.29e-03    5.79e-03      6.17e-02    5.34e-02    3.2e-04
  23000      9.72e-01    1.02e+00      9.83e-03    7.33e-03      5.38e-02    5.67e-02    3.2e-04
  23100      1.23e+00    1.17e+00      2.95e-02    3.31e-02      6.39e-02    5.81e-02    3.2e-04
  23200      1.14e+00    1.13e+00      5.79e-03    3.98e-03      6.37e-02    6.34e-02    3.2e-04
  23300      1.02e+00    1.11e+00      1.22e-02    1.42e-02      5.64e-02    6.08e-02    3.2e-04
  23400      1.11e+00    1.01e+00      1.23e-03    2.01e-03      6.21e-02    5.69e-02    3.2e-04
  23500      1.05e+00    9.21e-01      7.33e-03    7.39e-03      5.84e-02    5.13e-02    3.2e-04
  23600      1.16e+00    1.13e+00      6.56e-03    6.21e-03      6.49e-02    6.30e-02    3.2e-04
  23700      7.61e-01    1.04e+00      2.45e-03    3.30e-03      4.27e-02    5.83e-02    3.2e-04
  23800      1.02e+00    1.08e+00      3.13e-03    7.92e-03      5.71e-02    6.03e-02    3.2e-04
  23900      1.01e+00    9.53e-01      9.34e-03    6.56e-03      5.60e-02    5.32e-02    3.2e-04
  24000      9.18e-01    1.05e+00      5.39e-03    5.50e-03      5.13e-02    5.90e-02    3.2e-04
  24100      1.07e+00    9.79e-01      9.38e-03    9.56e-03      5.93e-02    5.43e-02    3.2e-04
  24200      9.52e-01    8.42e-01      2.76e-03    1.63e-03      5.34e-02    4.73e-02    3.2e-04
  24300      1.03e+00    1.06e+00      4.87e-03    3.52e-03      5.79e-02    5.95e-02    3.2e-04
  24400      1.10e+00    8.21e-01      1.35e-02    1.38e-02      6.07e-02    4.43e-02    3.2e-04
  24500      1.06e+00    1.03e+00      5.84e-03    4.92e-03      5.93e-02    5.75e-02    3.2e-04
  24600      1.06e+00    9.39e-01      1.67e-03    1.62e-03      5.94e-02    5.28e-02    3.2e-04
  24700      1.14e+00    1.15e+00      2.89e-03    2.89e-03      6.39e-02    6.45e-02    3.2e-04
  24800      9.01e-01    1.03e+00      1.62e-03    2.98e-03      5.06e-02    5.77e-02    3.2e-04
  24900      1.07e+00    1.12e+00      1.52e-02    1.83e-02      5.87e-02    6.07e-02    3.2e-04
  25000      1.00e+00    9.48e-01      1.17e-02    1.11e-02      6.36e-02    6.02e-02    2.4e-04
  25100      8.27e-01    8.14e-01      7.99e-04    1.06e-04      5.36e-02    5.28e-02    2.4e-04
  25200      7.72e-01    8.41e-01      1.14e-03    2.42e-03      5.01e-02    5.45e-02    2.4e-04
  25300      8.99e-01    8.80e-01      1.78e-03    9.67e-04      5.83e-02    5.70e-02    2.4e-04
  25400      7.87e-01    8.25e-01      1.08e-03    1.69e-03      5.10e-02    5.35e-02    2.4e-04
  25500      9.42e-01    7.97e-01      7.76e-03    7.03e-03      6.05e-02    5.11e-02    2.4e-04
  25600      8.76e-01    9.16e-01      1.93e-04    1.35e-03      5.68e-02    5.94e-02    2.4e-04
  25700      1.03e+00    9.87e-01      1.88e-02    1.84e-02      6.33e-02    6.06e-02    2.4e-04
